,county,fips,state
0,"Autauga County, Alabama",01001,Alabama
1,"Baldwin County, Alabama",01003,Alabama
2,"Barbour County, Alabama",01005,Alabama
3,"Bibb County, Alabama",01007,Alabama
4,"Blount County, Alabama",01009,Alabama
5,"Bullock County, Alabama",01011,Alabama
6,"Butler County, Alabama",01013,Alabama
7,"Calhoun County, Alabama",01015,Alabama
8,"Chambers County, Alabama",01017,Alabama
9,"Cherokee County, Alabama",01019,Alabama
10,"Chilton County, Alabama",01021,Alabama
11,"Choctaw County, Alabama",01023,Alabama
12,"Clarke County, Alabama",01025,Alabama
13,"Clay County, Alabama",01027,Alabama
14,"Cleburne County, Alabama",01029,Alabama
15,"Coffee County, Alabama",01031,Alabama
16,"Colbert County, Alabama",01033,Alabama
17,"Conecuh County, Alabama",01035,Alabama
18,"Coosa County, Alabama",01037,Alabama
19,"Covington County, Alabama",01039,Alabama
20,"Crenshaw County, Alabama",01041,Alabama
21,"Cullman County, Alabama",01043,Alabama
22,"Dale County, Alabama",01045,Alabama
23,"Dallas County, Alabama",01047,Alabama
24,"DeKalb County, Alabama",01049,Alabama
25,"Elmore County, Alabama",01051,Alabama
26,"Escambia County, Alabama",01053,Alabama
27,"Etowah County, Alabama",01055,Alabama
28,"Fayette County, Alabama",01057,Alabama
29,"Franklin County, Alabama",01059,Alabama
30,"Geneva County, Alabama",01061,Alabama
31,"Greene County, Alabama",01063,Alabama
32,"Hale County, Alabama",01065,Alabama
33,"Henry County, Alabama",01067,Alabama
34,"Houston County, Alabama",01069,Alabama
35,"Jackson County, Alabama",01071,Alabama
36,"Jefferson County, Alabama",01073,Alabama
37,"Lamar County, Alabama",01075,Alabama
38,"Lauderdale County, Alabama",01077,Alabama
39,"Lawrence County, Alabama",01079,Alabama
40,"Lee County, Alabama",01081,Alabama
41,"Limestone County, Alabama",01083,Alabama
42,"Lowndes County, Alabama",01085,Alabama
43,"Macon County, Alabama",01087,Alabama
44,"Madison County, Alabama",01089,Alabama
45,"Marengo County, Alabama",01091,Alabama
46,"Marion County, Alabama",01093,Alabama
47,"Marshall County, Alabama",01095,Alabama
48,"Mobile County, Alabama",01097,Alabama
49,"Monroe County, Alabama",01099,Alabama
50,"Montgomery County, Alabama",01101,Alabama
51,"Morgan County, Alabama",01103,Alabama
52,"Perry County, Alabama",01105,Alabama
